ID AVG WORKFLOW PLATFORM PIPELINE CORES FILES DATA_MB LATENCY BANDWITH SIMULATION_S MEASURED_MKSP_S ERR_MKSP MEASURED_WALLTIME_S ERR_WALLTIME
28159995 8 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0242 190.892 0.79033 199.679 0.799557
28159995 9 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0199 185.463 0.784216 202.21 0.802088
28159995 10 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0204 184.581 0.783182 193.086 0.792733
28159995 11 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0222 189.185 0.788449 201.505 0.801384
28159995 12 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0199 184.776 0.783414 189.03 0.788288
28159995 13 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.022 187.39 0.786424 221.302 0.819152
28159995 14 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0241 189.336 0.788608 197.13 0.796966
28159995 15 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.016 177.147 0.774109 185.405 0.78417
28159925 1 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.1043 107.183 0.588512 117.788 0.625561
28159925 2 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.0444 107.425 0.589999 137.098 0.678738
28159925 3 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.0926 108.919 0.595182 121.565 0.637293
28159925 4 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.1103 110.162 0.599588 119.825 0.631877
28159925 5 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.0535 107.433 0.589944 118.056 0.626841
28159925 6 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.3488 114.73 0.613451 124.684 0.644311
28159925 7 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.3247 114.184 0.611813 127.199 0.651532
28159925 8 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.1288 108.952 0.594971 142.912 0.691218
28159925 9 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.1126 107.886 0.591119 128.773 0.657438
28159925 10 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.1409 110.526 0.600629 119.627 0.631013
28159925 11 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.1266 108.3 0.592553 146.903 0.699621
28159925 12 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.1615 110.716 0.601129 130.619 0.661907
28159925 13 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.1076 109.275 0.596361 141.117 0.68744
28159925 14 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.1461 108.772 0.594142 119.238 0.629765
28159925 15 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 44.1227 107.245 0.58858 115.048 0.616484
28159983 1 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 47.6975 201.613 0.763421 234.17 0.796312
28159983 2 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 48.0291 206.529 0.767446 216.51 0.778167
28159983 3 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 47.7565 197.13 0.757741 221.726 0.784615
28159983 4 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 47.7136 195.925 0.756471 215.284 0.77837
28159983 5 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 48.1989 212.495 0.773177 222.166 0.78305
28159983 6 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 48.193 207.877 0.768166 214.988 0.775834
28159983 7 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 47.768 197.138 0.757693 224.769 0.78748
28159983 8 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 47.8181 199.078 0.759802 223.419 0.785972
28159983 9 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 47.4999 192.634 0.753419 204.52 0.767749
28159983 10 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 47.9485 205.25 0.76639 212.661 0.774531
28159983 11 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 47.3425 186.826 0.746595 193.544 0.755391
28159983 12 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 46.9811 179.06 0.737624 189.64 0.752262
28159983 13 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 47.1516 181.414 0.740088 209.92 0.775383
28159983 14 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 47.0114 178.858 0.737158 184.459 0.745139
28159983 15 swarp-0.dax cori.xml 1 4 48 1227.47 0.117647 2.32143 46.8787 175.307 0.732591 202.824 0.768869
28159928 1 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9517 108.119 0.621236 126.583 0.676482
28159928 2 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.944 109.973 0.627691 135.326 0.697441
28159928 3 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9449 112.588 0.63633 167.906 0.756144
28159928 4 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9461 112.002 0.634417 124.205 0.670334
28159928 5 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9455 109.142 0.624842 133.567 0.693446
28159928 6 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9474 108.609 0.622982 115.503 0.645487
28159928 7 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.947 111.083 0.631383 122.056 0.664523
28159928 8 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9415 110.147 0.6283 116.982 0.650019
28159928 9 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9405 109.938 0.627604 130.225 0.685618
28159928 10 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9408 109.065 0.624622 115.981 0.647005
28159928 11 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9422 111.636 0.633253 137.143 0.701464
28159928 12 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9617 110.914 0.63069 293.709 0.860537
28159928 13 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9392 108.075 0.621198 124.21 0.670404
28159928 14 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9397 109.253 0.625278 134.344 0.695263
28159928 15 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 40.9397 107.593 0.619494 116.786 0.649448
28159988 1 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.952 205.724 0.796076 239.084 0.82453
28159988 2 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.8934 202.436 0.793054 210.613 0.801088
28159988 3 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.9435 205.246 0.795642 247.761 0.83071
